LOCATION_ID,STREET_ADDRESS,CITY,STATE_PROVINCE,POSTAL_CODE,COUNTRY_NAME,REGION_NAME
3100,Pieter Breughelstraat 837,Utrecht,Utrecht,3029SK,Netherlands,Europe
3100,Pieter Breughelstraat 837,Utrecht,Utrecht,3029SK,Netherlands,Europe
3000,Murtenstrasse 921,Bern,BE,3095,Switzerland,Europe
2900,20 Rue des Corps-Saints,Geneva,Geneve,1730,Switzerland,Europe
2700,Schwanthalerstr. 7031,Munich,Bavaria,80925,Germany,Europe
2600,9702 Chester Road,Stretfo,Manches,96298,United King,Europe
2500,"Magdalen Centre, The Oxfo",Oxford,Oxford,OX9 9Z,United King,Europe
2400,8204 Arthur St,London,,,United King,Europe
1100,93091 Calle della Testa,Venice,,10934,Italy,Europe
1000,1297 Via Cola di Rie,Roma,,989,Italy,Europe
3200,Mariano Escobedo 9991,Mexico ,Distrit,11932,Mexico,Americ
2800,Rua Frei Caneca 1360 ,Sao Pau,Sao Pau,01307-,Brazil,Americ
1900,6092 Boxwood St,Whiteho,Yukon,YSW 9T,Canada,Americ
1800,147 Spadina Ave,Toronto,Ontario,M5V 2L,Canada,Americ
1700,2004 Charade Rd,Seattle,Washing,98199,United Stat,Americ
1600,2007 Zagora St,South B,New Jer,50090,United Stat,Americ
1500,2011 Interiors Blvd,South S,Califor,99236,United Stat,Americ
1400,2014 Jabberwocky Rd,Southla,Texas,26192,United Stat,Americ
2300,198 Clementi North,Singapo,,540198,Singapore,Asia
2200,12-98 Victoria Street,Sydney,New Sou,2901,Australia,Asia
2100,1298 Vileparle (E),Bombay,Maharas,490231,India,Asia
2000,40-5-12 Laogianggen,Beijing,,190518,China,Asia
1300,9450 Kamiya-cho,Hiroshi,,6823,Japan,Asia
1200,2017 Shinjuku-ku,Tokyo,Tokyo P,1689,Japan,Asia
